indic_is,unit,sizen_r2,geo\time	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 
E_IACC,PC_ENT,10_C10_S951_XK,SI	99 	99 	98 	97 	98 	97 	97 	: 
E_IACC,PC_ENT,10_C10_S951_XK,SK	97 	97 	98 	98 	98 	97 	98 	: 
E_IACC,PC_ENT,10_C10_S951_XK,TR	94 	92 	: 	: 	: 	: 	91 	: 
E_IACC,PC_ENT,10_C10_S951_XK,UK	95 	96 	95 	96 	94 	95 	91 	: 
E_IACC,PC_ENT,10_C19_22,AT	: 	: 	: 	: 	: 	: 	: 	100 
E_IACC,PC_ENT,10_C19_22,BE	: 	: 	: 	: 	: 	: 	: 	99 
E_IACC,PC_ENT,10_C19_22,BG	: 	: 	: 	: 	: 	: 	: 	81 
E_IACC,PC_ENT,10_C19_22,CY	: 	: 	: 	: 	: 	: 	: 	100 
E_IACC,PC_ENT,10_C19_22,CZ	: 	: 	: 	: 	: 	: 	: 	99 
E_IACC,PC_ENT,10_C19_22,DE	: 	: 	: 	: 	: 	: 	: 	99 
E_IACC,PC_ENT,10_C19_22,DK	: 	: 	: 	: 	: 	: 	: 	: u
E_IACC,PC_ENT,10_C19_22,EA	: 	: 	: 	: 	: 	: 	: 	99 
E_IACC,PC_ENT,10_C19_22,EE	: 	: 	: 	: 	: 	: 	: 	100 
E_IACC,PC_ENT,10_C19_22,EL	: 	: 	: 	: 	: 	: 	: 	93 
E_IACC,PC_ENT,10_C19_22,ES	: 	: 	: 	: 	: 	: 	: 	99 
E_IACC,PC_ENT,10_C19_22,EU15	: 	: 	: 	: 	: 	: 	: 	99 
E_IACC,PC_ENT,10_C19_22,EU25	: 	: 	: 	: 	: 	: 	: 	99 
E_IACC,PC_ENT,10_C19_22,EU27	: 	: 	: 	: 	: 	: 	: 	97 
E_IACC,PC_ENT,10_C19_22,EU28	: 	: 	: 	: 	: 	: 	: 	97 
E_IACC,PC_ENT,10_C19_22,FI	: 	: 	: 	: 	: 	: 	: 	100 
E_IACC,PC_ENT,10_C19_22,FR	: 	: 	: 	: 	: 	: 	: 	100 
E_IACC,PC_ENT,10_C19_22,HR	: 	: 	: 	: 	: 	: 	: 	100 
E_IACC,PC_ENT,10_C19_22,HU	: 	: 	: 	: 	: 	: 	: 	95 
E_IACC,PC_ENT,10_C19_22,IE	: 	: 	: 	: 	: 	: 	: 	96 
E_IACC,PC_ENT,10_C19_22,IT	: 	: 	: 	: 	: 	: 	: 	100 
E_IACC,PC_ENT,10_C19_22,LT	: 	: 	: 	: 	: 	: 	: 	98 
E_IACC,PC_ENT,10_C19_22,LU	: 	: 	: 	: 	: 	: 	: 	100 
E_IACC,PC_ENT,10_C19_22,LV	: 	: 	: 	: 	: 	: 	: 	95 
E_IACC,PC_ENT,10_C19_22,MT	: 	: 	: 	: 	: 	: 	: 	91 
E_IACC,PC_ENT,10_C19_22,NL	: 	: 	: 	: 	: 	: 	: 	98 
E_IACC,PC_ENT,10_C19_22,NO	: 	: 	: 	: 	: 	: 	: 	100 
E_IACC,PC_ENT,10_C19_22,PL	: 	: 	: 	: 	: 	: 	: 	94 
E_IACC,PC_ENT,10_C19_22,PT	: 	: 	: 	: 	: 	: 	: 	93 
E_IACC,PC_ENT,10_C19_22,RO	: 	: 	: 	: 	: 	: 	: 	69 
E_IACC,PC_ENT,10_C19_22,SE	: 	: 	: 	: 	: 	: 	: 	98 
E_IACC,PC_ENT,10_C19_22,SI	: 	: 	: 	: 	: 	: 	: 	100 
E_IACC,PC_ENT,10_C19_22,SK	: 	: 	: 	: 	: 	: 	: 	100 
E_IACC,PC_ENT,10_C19_22,UK	: 	: 	: 	: 	: 	: 	: 	100 
E_IACC,PC_ENT,10_C19_23,AT	100 	100 	100 	100 	100 	97 	100 	: 
E_IACC,PC_ENT,10_C19_23,BE	100 	100 	100 	99 	100 	100 	100 	: 
E_IACC,PC_ENT,10_C19_23,BG	94 	94 	94 	93 	94 	94 	92 	: 
E_IACC,PC_ENT,10_C19_23,CY	100 	99 	95 	95 	95 	87 	100 	: 
E_IACC,PC_ENT,10_C19_23,CZ	98 	99 	97 	98 	99 	98 	98 	: 
E_IACC,PC_ENT,10_C19_23,DE	99 	98 	100 	100 	99 	96 	100 	: 
E_IACC,PC_ENT,10_C19_23,DK	100 	100 	100 	: u	: u	: u	: u	: 
E_IACC,PC_ENT,10_C19_23,EA	99 	99 	99 	99 	99 	99 	99 	: 
E_IACC,PC_ENT,10_C19_23,EE	97 	100 	100 	100 	100 	100 	98 	: 
E_IACC,PC_ENT,10_C19_23,EL	97 	96 	98 	94 	98 	94 	95 	: 
E_IACC,PC_ENT,10_C19_23,ES	99 	99 	99 	98 	99 	100 	97 	: 
E_IACC,PC_ENT,10_C19_23,EU15	99 	99 	99 	99 	99 	99 	99 	: 
E_IACC,PC_ENT,10_C19_23,EU25	: 	: 	: 	: 	: 	: 	98 	: 
E_IACC,PC_ENT,10_C19_23,EU27	99 	98 	99 	99 	98 	97 	98 	: 
E_IACC,PC_ENT,10_C19_23,EU28	98 	98 	99 	99 	98 	97 	98 	: 
E_IACC,PC_ENT,10_C19_23,FI	100 	100 	100 	100 	100 	100 	100 	: 
E_IACC,PC_ENT,10_C19_23,FR	100 	: c	100 	100 	98 	100 	100 	: 
E_IACC,PC_ENT,10_C19_23,HR	85 	90 	100 	99 	100 	100 	98 	: 
E_IACC,PC_ENT,10_C19_23,HU	98 	96 	95 	96 	97 	95 	96 	: 
E_IACC,PC_ENT,10_C19_23,IE	100 	97 	99 	98 	99 	99 	99 	: 
E_IACC,PC_ENT,10_C19_23,IS	: 	: 	100 	100 	100 	: 	100 	: 
E_IACC,PC_ENT,10_C19_23,IT	99 	99 	99 	99 	99 	99 	98 	: 
E_IACC,PC_ENT,10_C19_23,LT	100 	100 	100 	100 	100 	100 	100 	: 
E_IACC,PC_ENT,10_C19_23,LU	100 	100 	100 	100 	: u	100 	100 	: 
E_IACC,PC_ENT,10_C19_23,LV	98 	97 	99 	98 	92 	90 	94 	: 
E_IACC,PC_ENT,10_C19_23,MK	99 	96 	100 	98 	: u	78 	87 	: 
E_IACC,PC_ENT,10_C19_23,MT	100 	98 	97 	98 	98 	98 	95 	: 
E_IACC,PC_ENT,10_C19_23,NL	100 	100 	100 	100 	100 	100 	99 	: 
E_IACC,PC_ENT,10_C19_23,NO	100 	100 	100 	100 	100 	100 	100 	: 
E_IACC,PC_ENT,10_C19_23,PL	97 	97 	98 	97 	97 	98 	98 	: 
E_IACC,PC_ENT,10_C19_23,PT	100 	98 	99 	100 	100 	100 	100 	: 
E_IACC,PC_ENT,10_C19_23,RO	87 	96 	87 	90 	77 	71 	92 	: 
E_IACC,PC_ENT,10_C19_23,RS	: 	: 	100 	: 	: 	: 	: 	: 
E_IACC,PC_ENT,10_C19_23,SE	100 	99 	99 	98 	100 	99 	99 	: 
E_IACC,PC_ENT,10_C19_23,SI	100 	100 	98 	100 	100 	100 	100 	: 
E_IACC,PC_ENT,10_C19_23,SK	100 	99 	100 	99 	98 	100 	98 	: 
E_IACC,PC_ENT,10_C19_23,TR	97 	97 	: 	: 	: 	: 	95 	: 
E_IACC,PC_ENT,10_C19_23,UK	100 	99 	99 	100 	97 	100 	99 	: 
E_IACC,PC_ENT,10_C23_25,AT	: 	: 	: 	: 	: 	: 	: 	100 
E_IACC,PC_ENT,10_C23_25,BE	: 	: 	: 	: 	: 	: 	: 	: u
E_IACC,PC_ENT,10_C23_25,BG	: 	: 	: 	: 	: 	: 	: 	84 
E_IACC,PC_ENT,10_C23_25,CY	: 	: 	: 	: 	: 	: 	: 	90 
E_IACC,PC_ENT,10_C23_25,CZ	: 	: 	: 	: 	: 	: 	: 	97 
E_IACC,PC_ENT,10_C23_25,DE	: 	: 	: 	: 	: 	: 	: 	99 
E_IACC,PC_ENT,10_C23_25,DK	: 	: 	: 	: 	: 	: 	: 	99 
E_IACC,PC_ENT,10_C23_25,EA	: 	: 	: 	: 	: 	: 	: 	98 
E_IACC,PC_ENT,10_C23_25,EE	: 	: 	: 	: 	: 	: 	: 	96 
E_IACC,PC_ENT,10_C23_25,EL	: 	: 	: 	: 	: 	: 	: 	90 
E_IACC,PC_ENT,10_C23_25,ES	: 	: 	: 	: 	: 	: 	: 	98 
E_IACC,PC_ENT,10_C23_25,EU15	: 	: 	: 	: 	: 	: 	: 	98 
E_IACC,PC_ENT,10_C23_25,EU25	: 	: 	: 	: 	: 	: 	: 	97 
E_IACC,PC_ENT,10_C23_25,EU27	: 	: 	: 	: 	: 	: 	: 	97 
E_IACC,PC_ENT,10_C23_25,EU28	: 	: 	: 	: 	: 	: 	: 	97 
E_IACC,PC_ENT,10_C23_25,FI	: 	: 	: 	: 	: 	: 	: 	100 
E_IACC,PC_ENT,10_C23_25,FR	: 	: 	: 	: 	: 	: 	: 	98 
E_IACC,PC_ENT,10_C23_25,HR	: 	: 	: 	: 	: 	: 	: 	94 
E_IACC,PC_ENT,10_C23_25,HU	: 	: 	: 	: 	: 	: 	: 	89 
E_IACC,PC_ENT,10_C23_25,IE	: 	: 	: 	: 	: 	: 	: 	98 
E_IACC,PC_ENT,10_C23_25,IT	: 	: 	: 	: 	: 	: 	: 	97 
E_IACC,PC_ENT,10_C23_25,LT	: 	: 	: 	: 	: 	: 	: 	97 
E_IACC,PC_ENT,10_C23_25,LU	: 	: 	: 	: 	: 	: 	: 	96 
E_IACC,PC_ENT,10_C23_25,LV	: 	: 	: 	: 	: 	: 	: 	96 
E_IACC,PC_ENT,10_C23_25,MT	: 	: 	: 	: 	: 	: 	: 	95 
E_IACC,PC_ENT,10_C23_25,NL	: 	: 	: 	: 	: 	: 	: 	98 
E_IACC,PC_ENT,10_C23_25,NO	: 	: 	: 	: 	: 	: 	: 	100 
E_IACC,PC_ENT,10_C23_25,PL	: 	: 	: 	: 	: 	: 	: 	95 
E_IACC,PC_ENT,10_C23_25,PT	: 	: 	: 	: 	: 	: 	: 	100 
E_IACC,PC_ENT,10_C23_25,RO	: 	: 	: 	: 	: 	: 	: 	76 
E_IACC,PC_ENT,10_C23_25,SE	: 	: 	: 	: 	: 	: 	: 	97 
E_IACC,PC_ENT,10_C23_25,SI	: 	: 	: 	: 	: 	: 	: 	94 
E_IACC,PC_ENT,10_C23_25,SK	: 	: 	: 	: 	: 	: 	: 	99 
E_IACC,PC_ENT,10_C23_25,UK	: 	: 	: 	: 	: 	: 	: 	99 
E_IACC,PC_ENT,10_C24_25,AT	100 	100 	100 	100 	100 	100 	96 	: 
E_IACC,PC_ENT,10_C24_25,BE	98 	100 	98 	95 	96 	99 	97 	: 
E_IACC,PC_ENT,10_C24_25,BG	94 	99 	94 	96 	93 	96 	91 	: 
E_IACC,PC_ENT,10_C24_25,CY	98 	98 	100 	98 	98 	91 	88 	: 
E_IACC,PC_ENT,10_C24_25,CZ	99 	98 	98 	99 	99 	99 	96 	: 
E_IACC,PC_ENT,10_C24_25,DE	99 	100 	100 	100 	98 	99 	98 	: 
E_IACC,PC_ENT,10_C24_25,DK	100 	100 	100 	: u	: u	: u	100 	: 
E_IACC,PC_ENT,10_C24_25,EA	99 	100 	100 	99 	99 	99 	98 	: 
E_IACC,PC_ENT,10_C24_25,EE	96 	98 	98 	96 	99 	93 	98 	: 
E_IACC,PC_ENT,10_C24_25,EL	93 	99 	97 	93 	94 	98 	98 	: 
E_IACC,PC_ENT,10_C24_25,ES	97 	98 	99 	99 	99 	98 	98 	: 
E_IACC,PC_ENT,10_C24_25,EU15	99 	99 	100 	99 	99 	99 	98 	: 
E_IACC,PC_ENT,10_C24_25,EU25	: 	: 	: 	: 	: 	: 	98 	: 
E_IACC,PC_ENT,10_C24_25,EU27	98 	98 	99 	98 	98 	98 	97 	: 
E_IACC,PC_ENT,10_C24_25,EU28	98 	98 	99 	98 	98 	98 	97 	: 
E_IACC,PC_ENT,10_C24_25,FI	100 	100 	100 	100 	100 	100 	100 	: 
E_IACC,PC_ENT,10_C24_25,FR	100 	99 	100 	100 	100 	99 	100 	: 
E_IACC,PC_ENT,10_C24_25,HR	90 	94 	95 	96 	98 	94 	92 	: 
E_IACC,PC_ENT,10_C24_25,HU	94 	89 	91 	90 	94 	94 	89 	: 
E_IACC,PC_ENT,10_C24_25,IE	100 	99 	100 	100 	99 	100 	99 	: 
